Environment,UTD,Learning Rate,Batch Size,is_new_experiment
Ant-v4,0.25,0.0001,256,True
Ant-v4,0.5,0.0001,256,True
Ant-v4,1,0.0001,256,False
Ant-v4,2,0.0001,256,False
Ant-v4,4,0.0001,256,False
Ant-v4,8,0.0001,256,False
Ant-v4,16,0.0001,256,True
Ant-v4,32,0.0001,256,True
Ant-v4,64,0.0001,256,True
Ant-v4,128,0.0001,256,True
Ant-v4,256,0.0001,256,True
HalfCheetah-v4,0.25,0.0005,128,True
HalfCheetah-v4,0.5,0.0005,128,True
HalfCheetah-v4,1,0.0005,128,False
HalfCheetah-v4,2,0.0005,128,False
HalfCheetah-v4,4,0.0005,128,False
HalfCheetah-v4,8,0.0005,128,False
HalfCheetah-v4,16,0.0005,128,True
HalfCheetah-v4,32,0.0005,128,True
HalfCheetah-v4,64,0.0005,128,True
HalfCheetah-v4,128,0.0005,128,True
HalfCheetah-v4,256,0.0005,128,True
Humanoid-v4,0.25,0.0002,128,True
Humanoid-v4,0.5,0.0002,128,True
Humanoid-v4,1,0.0002,128,False
Humanoid-v4,2,0.0002,128,False
Humanoid-v4,4,0.0002,128,False
Humanoid-v4,8,0.0002,128,False
Humanoid-v4,16,0.0002,128,True
Humanoid-v4,32,0.0002,128,True
Humanoid-v4,64,0.0002,128,True
Humanoid-v4,128,0.0002,128,True
Humanoid-v4,256,0.0002,128,True
Walker2d-v4,0.25,0.0005,128,True
Walker2d-v4,0.5,0.0005,128,True
Walker2d-v4,1,0.0005,128,False
Walker2d-v4,2,0.0005,128,False
Walker2d-v4,4,0.0005,128,False
Walker2d-v4,8,0.0005,128,False
Walker2d-v4,16,0.0005,128,True
Walker2d-v4,32,0.0005,128,True
Walker2d-v4,64,0.0005,128,True
Walker2d-v4,128,0.0005,128,True
Walker2d-v4,256,0.0005,128,True
